case,leaderboard,toposcore,topoF1_0,topoF1_1,topoF1_2,surface_dice,voi_score,voi_total,voi_split,voi_merge
1589119778,0.5336180422239851,0.06059255959010916,0.11940298507462686,0.0,nan,0.9212214558684418,0.551465042265708,2.711171898835599,1.4318545086873709,1.2793173901482282
1596691633,0.6431581718704438,0.3854566663143762,0.7560975609756098,0.0035842293906810036,nan,0.9600964912124543,0.5471068572907768,2.7593216734777597,1.4266178063188082,1.3327038671589513
1613378452,0.7004478782884758,0.3796236210253083,0.7058823529411765,0.043478260869565216,nan,0.9812077364790529,0.6946802406091851,1.4650373967888273,0.7427822761631006,0.7222551206257266
1625909146,0.6352680415620797,0.3374292502409557,0.660377358490566,0.004694835680751174,nan,0.9691327112945638,0.556693764390559,2.654399144652123,1.3619548587205066,1.292444285931616
1639956906,0.5246383053575696,0.10270078180525942,0.20238095238095238,0.0,nan,0.8282685220166721,0.5826688231718758,2.387469292054546,1.1926584914757692,1.1948108005787768
1643996246,0.4342569501762902,0.061412681813860635,0.12101910828025478,0.0,nan,0.6973866893084372,0.49070801249765417,3.4595725260330212,1.6583694667456463,1.8012030592873747
1662041291,0.8852696464822468,1.0,1.0,nan,nan,0.9968929950223,0.6753059949269767,1.6027006399675834,0.7860295120783249,0.8166711278892583
1666298112,0.6909253155841437,0.4910929224843525,0.967741935483871,0.0,nan,0.9704467551754499,0.5826887843640874,2.387273314297853,1.2337582814068282,1.1535150328910249
1671010748,0.42046402066821337,0.036256383863177484,0.07058823529411765,0.0008841732979664014,nan,0.6368013099005255,0.5334475629830748,2.915328324605656,1.266562896922348,1.648765427683308
1704770049,0.609480151694747,0.2819237147595357,0.5555555555555556,0.0,nan,0.9390325749960297,0.5606903886236454,2.6117183404002455,1.3244898309468782,1.2872285094533673
1725830085,0.5883989096170885,0.12878215924269704,0.25,0.0038910505836575876,nan,0.9398913754538493,0.6308636583869492,1.9504285207831478,0.9094464195555416,1.0409821012276061
17283971,0.5469785987478587,0.08582613862770458,0.16806722689075632,0.001092896174863388,nan,0.9183125311433491,0.5709182035982148,2.5052146623777585,1.2714340100578112,1.2337806523199473
1757276221,0.5358762016041786,0.09226594301221168,0.18181818181818182,0.0,nan,0.8540485214381104,0.5979412462776472,2.241350390333955,1.265158145595253,0.9761922447387019
176501514,0.6420124240892389,0.42485248177716073,0.8372093023255814,0.0,nan,0.9445917574626044,0.5255701841262265,3.008984846064692,1.5566298637787308,1.4523549822859614
1793326608,0.5671037777952044,0.2164740372616654,0.42424242424242425,0.0024096385542168677,nan,0.8827288551464275,0.5520184780441577,2.7051118744132987,1.1181463262932432,1.5869655481200553
1798146413,0.5967963094403101,0.24792404589165468,0.48717948717948717,0.0014184397163120568,nan,0.9354094026895835,0.5572165849470273,2.648781024677426,1.3377949511357365,1.3109860735416894
1823626595,0.32332518419459777,0.030854941880459452,0.059907834101382486,0.0009216589861751152,nan,0.39559325719282096,0.5017458903227789,3.3101357964067457,1.1668091442346251,2.143326652172121
1853493924,0.5688574152396122,0.24269954574951333,0.4782608695652174,0.0,nan,0.8394828077960583,0.5777959108175367,2.4357163794223755,1.2687306281845663,1.166985751237809
1871106040,0.5251901987672748,0.2329336921947639,0.45901639344262296,0.0,nan,0.7511572010549848,0.5497287735417171,2.7302629231583744,1.4139282913568842,1.31633463180149
1882650170,0.5086396754737252,0.21749776463305595,0.41935483870967744,0.009523809523809525,nan,0.6746341957649041,0.5921953644745488,2.2954397596323277,1.1962169411341095,1.0992228184982182
1914571029,0.669315127761755,0.47363184079601994,0.9333333333333333,0.0,nan,0.969781977159504,0.5365768100489217,2.8788869320736286,1.5060752613482065,1.3728116707254219
193365288,0.49200182386189717,0.025282838476655866,0.0498220640569395,0.0,nan,0.764289841926095,0.6197586504136205,2.045104436125312,1.0452540417319638,0.9998503943933481
1939536631,0.6321485060055202,0.3674729799279465,0.7241379310344828,0.0,nan,0.93702421330921,0.554137535339751,2.6820204746154666,1.224270318243363,1.4577501563721036
1960540938,0.6884797453866631,0.4393267543445855,0.8571428571428571,0.008849557522123894,nan,0.9745890875441269,0.6159301098366944,2.078536098114209,1.0320795894539394,1.0464565086602695
1961113613,0.6518411505054346,0.36013480982185847,0.7096774193548387,0.0,nan,0.9783434029821185,0.5753729043289588,2.4600109626079325,1.2452054575071225,1.21480550510081
1963069058,0.6095648518892829,0.3453661922943423,0.6511627906976745,0.030303030303030304,nan,0.887347016884454,0.5582386808326323,2.6378281927034353,1.378856030916437,1.2589721617869984
1966171058,0.8731704553057553,0.9811320754716981,0.9811320754716981,nan,nan,0.991230303491022,0.6625720755496805,1.6975658795076944,0.8408946555098443,0.8566712239978501
