case,postprocess,leaderboard,toposcore,topoF1_0,topoF1_1,topoF1_2,surface_dice,voi_score,voi_total,voi_split,voi_merge
2894972157,threshold_05,0.6701504052316478,0.41519674355495256,0.8181818181818182,0.0,nan,0.9730441682816193,0.5857883521902723,2.3570040058608406,1.205258975158779,1.1517450307020618
2983822886,threshold_05,0.6575492358811588,0.4231448570116805,0.8256880733944955,0.008403361344537815,nan,0.970920965263947,0.545095545529352,2.7818025555433104,1.453919360467829,1.3278831950754812
3020373917,threshold_05,0.6156703540788414,0.26134321562997476,0.5135135135135135,0.0015313935681470138,nan,0.9541712038560285,0.5808784801149687,2.40510155011009,1.209413298877303,1.195688251232787
3034991642,threshold_05,0.5171734836096886,0.1635777158165218,0.32234432234432236,0.0,nan,0.8482609829410607,0.4891680709581741,3.480957155422518,1.7336698078894832,1.7472873475330348
3040864797,threshold_05,0.5558504268877826,0.2017980274068255,0.39766081871345027,0.0,nan,0.9074660149861662,0.5077083240587908,3.2321161095388016,1.639346638785107,1.5927694707536948
3056295573,threshold_05,0.6533200514737143,0.40597014925373137,0.8,0.0,nan,0.9459240538478109,0.5727302510024604,2.4867422214307773,1.2614804018977521,1.2252618195330252
3070061281,threshold_05,0.8972447451231352,1.0,1.0,nan,nan,0.9993527307800675,0.7070608267146047,1.3810182576349317,0.667650860628941,0.7133673970059906
3074797420,threshold_05,0.6968822771635906,0.420171867933062,0.8181818181818182,0.010101010101010102,nan,0.9873923560698966,0.6435525490263092,1.8462488754181434,0.9226378459601021,0.9236110294580414
3088997407,threshold_05,0.46373584714629723,0.10006306495690562,0.19718309859154928,0.0,nan,0.64045942828302,0.5987317936004818,2.2339897468196153,1.143221226869588,1.0907685199500272
3102979250,threshold_05,0.5432318391062219,0.1939085062492416,0.3821138211382114,0.0,nan,0.8952510577594821,0.490632620044659,3.4606163494862114,1.8098374828138817,1.6507788666723298
3137156884,threshold_05,0.5370561507818337,0.06174450939220249,0.12167300380228137,0.0,nan,0.9214435279863825,0.5600787519112543,2.6182106628608075,1.3262043995080126,1.2920062633527951
