case,t_low,t_high,z_radius,xy_radius,dust_min_size,leaderboard,toposcore,surface_dice,voi_score
2292614243,0.3,0.75,1,0,100,0.6743296812519302,0.4807541241162608,0.9543915472794307,0.560189721340718
2306395636,0.3,0.75,1,0,100,0.48356897243928343,0.041862117981520966,0.8043541205496774,0.5413896995784003
237111043,0.3,0.75,1,0,100,0.6517053885406139,0.39385163733570955,0.9571213077221526,0.5673069703918501
2424610202,0.3,0.75,1,0,100,0.7100009042183517,0.4625266124633504,0.9923464121118917,0.6397762178290987
244496252,0.3,0.75,1,0,100,0.4839845556201823,0.11940298507462686,0.7937470326736431,0.48672056760576915
2456859500,0.3,0.75,1,0,100,0.6995117817536682,0.4699231117141565,0.9667023057070345,0.629111546405598
246751123,0.3,0.75,1,0,100,0.669303814453873,0.44043931286961424,0.9612141531319925,0.5735630485622611
2475831799,0.3,0.75,1,0,100,0.4747956455589775,0.10077273208425956,0.7393700066503742,0.5308123531601963
2495748513,0.3,0.75,1,0,100,0.6610884059508835,0.4426802159415688,0.9651255201305533,0.5442583117791979
2536049117,0.3,0.75,1,0,100,0.8718588187779208,0.8888888888888888,0.9976351515056353,0.7314852830979479
2540481853,0.3,0.75,1,0,100,0.7078868954112318,0.5545954438334643,0.9711407034346098,0.5760257601687975
2615287684,0.3,0.75,1,0,100,0.5533020609479403,0.32335723977515024,0.7889476062291504,0.5147520766719788
263322541,0.3,0.75,1,0,100,0.5901545803018087,0.2540378381892653,0.9147596494997766,0.553649575771735
2642624633,0.3,0.75,1,0,100,0.4474456027703998,0.04964308890330954,0.6994531766281155,0.5364116122273329
2652698199,0.3,0.75,1,0,100,0.5097767652982297,0.15325826882477128,0.7799157096240652,0.5452251036639298
2713673035,0.3,0.75,1,0,100,0.6876619806527957,0.4712153518123668,0.9637024641304006,0.5971471790384155
2727460783,0.3,0.75,1,0,100,0.6042843408174173,0.4024704065877509,0.8600712082605803,0.5214808455711115
2757775745,0.3,0.75,1,0,100,0.49338148453272035,0.11599147121535182,0.7643406710215754,0.5458994523158955
2768504081,0.3,0.75,1,0,100,0.6478675256928752,0.37131416090280306,0.9446780324096077,0.588102760224776
2773856183,0.3,0.75,1,0,100,0.4340270340814437,0.01770218674071503,0.654525149278653,0.5703787880334306
2786449252,0.3,0.75,1,0,100,0.61916322634772,0.48539909149902666,0.807411579927166,0.5455698454957256
2855094384,0.3,0.75,1,0,100,0.5042868481053022,0.02670856245090338,0.8738309536734696,0.5440955588123337
2875030463,0.3,0.75,1,0,100,0.6802703320628292,0.5074626865671642,0.9405260560000488,0.568135447121894
2880423383,0.3,0.75,1,0,100,0.49459513076367867,0.11509462994306817,0.7978917314911366,0.5165846735967443
2881190689,0.3,0.75,1,0,100,0.6695437780457012,0.37213930348258706,0.9828800335795496,0.6111256435659507
2894972157,0.3,0.75,1,0,100,0.6624158505187878,0.38869482375357256,0.9680607412656138,0.591388982713575
2983822886,0.3,0.75,1,0,100,0.6745018204203199,0.4762498188668309,0.9678304601512214,0.5511034677352663
3020373917,0.3,0.75,1,0,100,0.662263232086049,0.40380211911155517,0.9568320590408739,0.5892325019665047
3034991642,0.3,0.75,1,0,100,0.5339431568972107,0.19057550674574725,0.8640886722405022,0.4981127702551738
3040864797,0.3,0.75,1,0,100,0.6389367706591944,0.4639658848614073,0.9096094419533215,0.5182391443345994
3056295573,0.3,0.75,1,0,100,0.6710621693606473,0.45913290689410097,0.9456663989973222,0.5781115932667265
3070061281,0.3,0.75,1,0,100,0.894695820511834,1.0,0.9991691244555889,0.6999617912925086
3074797420,0.3,0.75,1,0,100,0.7086561720882383,0.45842217484008524,0.9893601219892472,0.6424385055427893
3088997407,0.3,0.75,1,0,100,0.46890855211004123,0.09167067886374579,0.666230523140729,0.5949333295761784
3102979250,0.3,0.75,1,0,100,0.5617846236785906,0.25111555623942144,0.8914098721251112,0.49844714732278644
3137156884,0.3,0.75,1,0,100,0.6750794524809579,0.49208502939846227,0.9344435854664376,0.5725676821376173
3144205538,0.3,0.75,1,0,100,0.6843605794148242,0.426865671641791,0.9681733301986968,0.6212577495792658
3188147679,0.3,0.75,1,0,100,0.5690003457879864,0.39887900727646014,0.7458030798026976,0.5380159019260122
3194326202,0.3,0.75,1,0,100,0.6773243191191354,0.4466843993125628,0.9420747264828961,0.6102652715895798
324225693,0.3,0.75,1,0,100,0.4698049781092597,0.06427323935007019,0.6983080763587319,0.5889005130819499
3290306825,0.3,0.75,1,0,100,0.47497578939269125,0.05887369340017603,0.8078131526298555,0.49879736557768284
3294954456,0.3,0.75,1,0,100,0.6462827682668197,0.40597014925373137,0.9573619209605349,0.5411858604414662
3320274,0.3,0.75,1,0,100,0.5741742588140444,0.3276,0.8520781098690585,0.5076197724567828
3321304167,0.3,0.75,1,0,100,0.6206676517766561,0.40038340408051487,0.8771952358261829,0.5529551371809645
3335656968,0.3,0.75,1,0,100,0.567951671518596,0.13930598139388442,0.9441311691183435,0.5591827654543159
3342671660,0.3,0.75,1,0,100,0.6460858436008408,0.42837391987431267,0.9004760032362872,0.5783059043024183
3351412255,0.3,0.75,1,0,100,0.5400701952869742,0.1871091470024181,0.8637452694843212,0.5189331624763898
3355195275,0.3,0.75,1,0,100,0.626537136548156,0.382375127970257,0.8844644616952317,0.5778915330392796
3371019516,0.3,0.75,1,0,100,0.4968677724840914,0.1621842105263158,0.7998718558847774,0.4807353136186417
338740527,0.3,0.75,1,0,100,0.7111163669079854,0.5557615648465746,0.9658797201227463,0.5895142726030055
3414512299,0.3,0.75,1,0,100,0.7239412634128142,0.4916458867888162,0.9966664558735511,0.650326393772647
3419802889,0.3,0.75,1,0,100,0.48816752743562575,0.05408693211060684,0.8018160483884151,0.5465880881899954
344456112,0.3,0.75,1,0,100,0.6703155571778191,0.45107794361525705,0.9473055174271321,0.5812435514107025
3542835985,0.3,0.75,1,0,100,0.6379409834838234,0.42485248177716073,0.9371176512923675,0.5214116028524192
3598654160,0.3,0.75,1,0,100,0.4798981211107593,0.11814814814814815,0.7011570389749973,0.5687106086430452
3647910527,0.3,0.75,1,0,100,0.6840899190344245,0.49566122874002083,0.9601708790034073,0.5695192650320737
364978558,0.3,0.75,1,0,100,0.6017755484868108,0.2537313432835821,0.9355724461282645,0.5663022553052676
3662102503,0.3,0.75,1,0,100,0.5430976662306326,0.2773020145175761,0.8431493170298229,0.47087085975691934
3700757712,0.3,0.75,1,0,100,0.6310325155361096,0.4585084985713423,0.8936193895432727,0.5163233703558903
3707256544,0.3,0.75,1,0,100,0.6675114261940045,0.4673998428908091,0.9606696793752224,0.5458773872726688
3710912607,0.3,0.75,1,0,100,0.49455116415071165,0.08269762299613047,0.7576376276795894,0.5844820216114751
3767466977,0.3,0.75,1,0,100,0.6646142599470807,0.43188313750396956,0.961836802192246,0.5668755369388677
3769121277,0.3,0.75,1,0,100,0.6218348165073856,0.20969532502775381,0.981164650578144,0.6157674037048833
3770778897,0.3,0.75,1,0,100,0.6776628801194796,0.46466462866390934,0.9626522222604518,0.575243467797568
3819086916,0.3,0.75,1,0,100,0.70308332667938,0.4839937991782593,0.9815019437512149,0.6124557331799345
3853942725,0.3,0.75,1,0,100,0.659751728574672,0.4285240464344942,0.941985196997975,0.5757134162715215
3854983004,0.3,0.75,1,0,100,0.6749637645465889,0.5927031509121061,0.8694108478723735,0.5510257786217895
3918162598,0.3,0.75,1,0,100,0.6366190543681771,0.21655172413793103,0.9812123008068017,0.6520835195554778
3921562037,0.3,0.75,1,0,100,0.58606588701784,0.21733097115730765,0.9305814429373749,0.557608830407333
3922476405,0.3,0.75,1,0,100,0.6586716280774377,0.388752131433574,0.9363922127285306,0.6123106119782281
3925240194,0.3,0.75,1,0,100,0.46276426889626127,0.026141128170596984,0.7711096765665478,0.5286672675622583
3958093739,0.3,0.75,1,0,100,0.4895193051611416,0.11031797534068787,0.7955597717800768,0.5085085498168814
3962971462,0.3,0.75,1,0,100,0.6051552185857139,0.30889033095392604,0.9171726423354074,0.5470791270918387
3970017952,0.3,0.75,1,0,100,0.6124341392288581,0.17398720682302773,0.9554195871266795,0.6452603476788916
3977024865,0.3,0.75,1,0,100,0.6739470823396719,0.47785286971435575,0.9424404525052047,0.5735344658529816
3978531923,0.3,0.75,1,0,100,0.5203425950567797,0.21772277227722775,0.7627142699989812,0.5373593396399087
4023763904,0.3,0.75,1,0,100,0.6755566613657391,0.44430023794073115,0.9572837963878199,0.5920493178508083
4026460947,0.3,0.75,1,0,100,0.5981443339430098,0.19707288798724823,0.9576733893571976,0.5823908036337605
4065328827,0.3,0.75,1,0,100,0.5784437156816635,0.3840258168616378,0.7937859327164732,0.5297454119211618
4066091069,0.3,0.75,1,0,100,0.6422167089986041,0.4540455616653574,0.9240628864031544,0.5216600864511225
4158695626,0.3,0.75,1,0,100,0.5453245143152958,0.4040906578220011,0.743500060744012,0.46820655916654663
4218389312,0.3,0.75,1,0,100,0.6749468317976005,0.4651741293532338,0.9655727117829402,0.5641261253360038
4233602520,0.3,0.75,1,0,100,0.683908593881358,0.4567164179104478,0.9734905550429757,0.5890627835519491
